Year,EC_42,GDP_42,Population_42,global_EC,GDP_global,Population_global,target_ratio,feat_EC42_over_GDP42,feat_GDP42_over_GDPglobal,feat_Pop42_over_Popglobal
1987,202.18,30363800000000.0,3166210537.0,358.638931,42800000000000.0,5049746398.0,0.5637424789223454,6.6585868698911205e-12,0.7094345794392524,0.6270038705813044
1988,211.1,31829900000000.0,3218893580.0,371.015428,45400000000000.0,5141992542.0,0.5689790344783182,6.632128910238486e-12,0.7010991189427312,0.6260012152308563
1989,216.6,33037200000000.0,3271831428.0,377.866526,47900000000000.0,5234431732.0,0.5732182797266355,6.556245686680469e-12,0.6897118997912317,0.6250595280473513
1990,227.09,34754000000000.0,3387258009.5,383.275171,50500000000000.0,5327803110.0,0.5924985941758278,6.534211889278932e-12,0.6881980198019801,0.6357701175447529
1991,230.78,35480400000000.0,3439356351.0,386.07407,51700000000000.0,5418735892.0,0.597760942608759,6.5044362521279354e-12,0.6862746615087041,0.6347156273251341
1992,236.70000000000002,36748400000000.0,3498016349.0,388.667055,52800000000000.0,5505989816.0,0.6090045373153637,6.441096755232882e-12,0.6959924242424242,0.6353110822753473
1993,243.69,37927400000000.0,3555543102.0,391.894843,54000000000000.0,5591544797.0,0.6218249725730635,6.425170193580366e-12,0.7023592592592592,0.6358784971029179
1994,250.36,39582800000000.0,3601043734.0,396.837432,55100000000000.0,5675551256.0,0.6308880660229653,6.324969431167073e-12,0.7183811252268603,0.634483519145933
1995,258.57,41128100000000.0,3650713251.0,405.068158,56300000000000.0,5758878982.0,0.6383370178408346,6.286942504030091e-12,0.7305168738898756,0.6339277596231314
1996,268.29,42813200000000.0,3694698508.0,416.083804,58200000000000.0,5842055734.0,0.6447979888205406,6.2665252772509415e-12,0.7356219931271477,0.6324312324679373
1997,283.77,45578800000000.0,3768235291.0,420.248199,60000000000000.0,5924787817.0,0.6752438218063607,6.2259208228386876e-12,0.7596466666666667,0.6360118551735808
1998,284.86,46924200000000.0,3811137448.0,422.840615,61900000000000.0,6007066690.0,0.6736817370299208,6.07064158792265e-12,0.758064620355412,0.6344423401099281
1999,290.25,48636300000000.0,3853656201.5,429.88703,63800000000000.0,6089006340.0,0.6751773832301943,5.96776481763621e-12,0.7623244514106583,0.6328875330913188
2000,297.09,50768600000000.0,3896836964.0,440.237697,65600000000000.0,6171702994.0,0.6748399830921339,5.851845432019003e-12,0.7739115853658537,0.6314038390681507
2001,298.02,51848100000000.0,3940220655.0,444.204992,68300000000000.0,6254936460.0,0.6709064629332215,5.747944476268176e-12,0.7591229868228404,0.6299377587921973
2002,304.85,53126300000000.0,3982289249.0,452.614352,70900000000000.0,6337730342.0,0.6735314482471383,5.7382125237405956e-12,0.7493131170662906,0.6283462744713918
2003,316.24,54895200000000.0,4023223095.5,466.420797,73600000000000.0,6420361634.0,0.678014363926401,5.760795115055597e-12,0.7458586956521739,0.626634966197918
2004,332.2,57341200000000.0,4064005215.5,487.292543,76200000000000.0,6503377772.0,0.6817260078613597,5.7933911393552975e-12,0.752509186351706,0.624906834260404
2005,343.89,59783800000000.0,4104651133.0,501.576634,78900000000000.0,6586970132.0,0.6856180625032864,5.752227191981774e-12,0.7577160963244614,0.6231470692510497
2006,354.51,63087800000000.0,4155798120.5,514.013938,81900000000000.0,6671452016.0,0.6896894690820621,5.619311499212209e-12,0.7703028083028083,0.6229225827500878
2007,365.58,66120200000000.0,4195646378.0,528.639383,84900000000000.0,6757308782.0,0.6915489306251706,5.529021388320059e-12,0.7788009422850413,0.6209049361746334
2008,368.86,67757000000000.0,4235669371.0,533.923816,87900000000000.0,6844457662.0,0.690847624598188,5.443865578464218e-12,0.7708418657565416,0.6188466026338612
2009,363.67,67584100000000.0,4276502347.0,525.768484,90900000000000.0,6932766416.0,0.6916922772419354,5.380999377072418e-12,0.7434994499449945,0.6168536613508774
2010,381.84,70939200000000.0,4317934080.0,548.862561,93900000000000.0,7021732148.0,0.6956932885061548,5.382637526219636e-12,0.7554760383386582,0.6149385919298954
2011,390.46,73787800000000.0,4358875715.0,560.357549,97400000000000.0,7110923766.0,0.6968051036285763,5.291660681033992e-12,0.7575749486652977,0.612983046709265
2012,394.71,76015800000000.0,4400053040.0,567.420479,101000000000000.0,7201202485.0,0.695621703142653,5.192473143741169e-12,0.7526316831683169,0.6110164308204423
2013,403.3,78668700000000.0,4441074054.0,576.106293,104000000000000.0,7291793585.0,0.7000444273918042,5.1265624066496586e-12,0.7564298076923077,0.6090509834419565
2014,407.19,81496300000000.0,4480793921.0,581.547783,108000000000000.0,7381616244.0,0.7001832212298195,4.9964231504988566e-12,0.7545953703703704,0.6070207083228045
2015,410.04,84602800000000.0,4519335244.0,585.159134,111000000000000.0,7470491872.0,0.7007324609240398,4.846648101481275e-12,0.7621873873873873,0.6049581903621138
2016,414.17,87406000000000.0,4556844014.5,591.573774,114000000000000.0,7558554526.0,0.7001155531279519,4.738461890488067e-12,0.766719298245614,0.602872414140206
2017,421.45,90844900000000.0,4593341135.5,603.708931,116000000000000.0,7645617954.0,0.6981013173051767,4.6392257573072346e-12,0.7831456896551724,0.6007808869258078
2018,432.02000000000004,94308000000000.0,4627242686.5,618.621843,119000000000000.0,7729902781.0,0.698358787179133,4.580947533613267e-12,0.7925042016806723,0.5986158969390536
2019,435.41,97173000000000.0,4657714490.5,625.123826,121000000000000.0,7811293699.0,0.6965180047384725,4.480771407695553e-12,0.8030826446280992,0.5962795242350546
